x1,x2,y
7,4,86
1,1,71
7,0,64
5,7,89
6,0,83
6,4,45
5,7,75
7,6,84
6,3,77
5,1,91
3,3,66
2,0,57
3,0,71
8,3,95
1,8,71
3,1,75
8,2,66
9,3,92
4,1,96
7,7,98
9,3,83
3,2,51
7,0,62
2,3,70
4,0,92
6,2,86
9,6,97
7,6,75
3,6,68
5,2,69
1,6,82
3,9,82
8,8,73
4,9,91
3,3,47
7,4,74
1,1,77
9,4,73
8,6,85
6,5,57
8,2,92
5,6,83
4,2,53
6,4,84
5,9,97
2,5,96
1,6,57
4,9,58
3,0,48
1,7,66
1,9,95
6,6,71
3,6,46
4,3,93
7,7,87
1,1,58
6,8,54
4,4,61
6,5,40
6,1,70
9,8,60
4,5,87
2,1,92
8,5,74
8,3,92
1,7,46
6,6,76
1,1,88
1,5,90
2,0,56
5,4,73
3,4,92
5,9,94
8,3,40
8,6,54
2,0,46
3,2,96
9,5,41
8,8,44
2,3,63
2,1,62
4,7,97
8,6,84
1,6,42
9,8,54
9,9,90
9,4,73
4,8,90
8,9,47
2,4,72
2,8,97
8,3,48
9,1,40
5,0,45
2,7,66
7,6,41
1,7,43
1,9,92
1,8,84
7,2,67
1,6,40
2,2,98
8,2,88
3,4,94
1,0,53
9,2,48
6,6,77
3,2,83
1,6,82
2,8,99
9,9,56
4,8,50
5,7,68
9,6,99
5,0,74
8,4,53
2,4,65
7,0,69
9,9,98
1,3,99
4,2,86
4,0,65
3,6,54
2,0,63
8,0,47
7,6,99
5,5,66
2,5,87
7,0,99
1,6,90
3,0,43
1,6,52
9,9,44
1,2,86
9,1,64
9,8,78
5,1,47
1,1,85
2,1,98
1,0,86
3,7,81
6,4,83
5,8,71
6,3,66
1,8,89
5,9,93
3,1,83
7,0,99
2,9,42
9,2,64
3,0,94
1,8,68
7,5,77
5,4,62
5,6,69
1,5,95
2,7,58
2,7,42
8,9,47
8,3,92
9,6,41
9,6,66
7,0,94
4,9,77
4,4,79
6,4,77
8,2,52
4,0,79
3,3,90
8,4,67
4,9,77
2,3,82
9,5,63
4,8,44
3,7,47
1,2,91
9,2,65
7,1,48
7,7,44
7,0,40
3,2,45
9,2,48
7,5,47
1,7,48
5,8,62
5,3,51
7,7,64
6,4,52
1,5,97
2,3,86
3,2,72
5,2,56
5,8,59
4,3,94
2,0,51
3,7,89
4,7,79
7,3,92
3,2,42
7,6,89
6,7,75
3,8,72
1,6,86
2,9,46
5,8,81
2,2,73
8,3,52
5,2,95
9,4,96
7,4,41
3,9,62
5,5,53
5,7,74
5,3,79
8,1,41
2,1,40
6,9,73
9,2,47
7,8,56
8,7,63
3,4,98
